Index,Inspection_Date,Sale_Date,Sale_Price,Location,Classification,Architectural_Style,Year_Built,Bedrooms,Baths,Square_Feet,Count,Price_per_SF
408,2016-04-26,2016-05-31,253000,NEW CASTLE,Townhome,TWO STORY,2009,3,2.5,1850,1,136.75675675675674
409,2016-04-27,2016-06-01,253000,NEW CASTLE,Townhome,TWO STORY,2009,3,2.5,1850,1,136.75675675675674
410,2015-12-16,2016-01-20,240000,NEW CASTLE,Townhome,TWO STORY,2009,3,2.5,1850,1,129.72972972972974
411,2016-05-16,2016-06-20,309500,NEW CASTLE,Townhome,TWO STORY,2001,4,3,1922,1,161.03017689906346
412,2014-10-10,2014-11-14,299000,NEW CASTLE,Townhome,TWO STORY,1999,4,3,1922,1,155.56711758584808
413,2014-08-18,2014-09-22,305000,NEW CASTLE,Townhome,TWO STORY,2001,3,2.75,1932,1,157.86749482401657
414,2015-03-04,2015-04-08,286500,NEW CASTLE,Townhome,TWO STORY,2008,3,2.5,1942,1,147.52832131822862
415,2016-03-30,2016-05-04,380000,NEW CASTLE,Townhome,TWO STORY,2007,3,2.5,2015,1,188.58560794044666
416,2015-02-20,2015-03-27,325000,NEW CASTLE,Townhome,TWO STORY,2007,3,2.5,2085,1,155.87529976019184
417,2016-02-10,2016-03-16,367000,NEW CASTLE,Townhome,TWO STORY,2006,3,2.5,2194,1,167.27438468550594
418,2015-06-05,2015-07-10,350000,NEW CASTLE,Townhome,TWO STORY,2006,3,2.5,2194,1,159.52597994530538
419,2016-05-13,2016-06-17,380000,NEW CASTLE,Townhome,TWO STORY,2007,3,3.5,2215,1,171.55756207674943
420,2015-07-24,2015-08-28,380000,NEW CASTLE,Townhome,ONE WITH HALF STORY,2005,3,2.5,2470,1,153.84615384615384
429,2014-09-12,2014-10-17,65500,PARACHUTE,Townhome,TWO STORY,1981,2,1.5,1093,1,59.92680695333943
430,2016-05-26,2016-06-30,110000,PARACHUTE,Townhome,ONE STORY,2006,3,2,1164,1,94.50171821305842
431,2016-01-28,2016-03-03,106000,PARACHUTE,Townhome,ONE STORY,2006,3,2,1164,1,91.06529209621993
432,2015-09-21,2015-10-26,67000,PARACHUTE,Townhome,ONE STORY W/ BSMT,1981,2,1.5,1196,1,56.020066889632105
433,2015-06-01,2015-07-06,140000,PARACHUTE,Townhome,ONE STORY,2006,3,2,1314,1,106.54490106544901
434,2015-02-18,2015-03-25,89270,PARACHUTE,Townhome,ONE STORY,2006,3,2,1314,1,67.93759512937595
435,2015-10-27,2015-12-01,110000,PARACHUTE,Townhome,ONE STORY,1992,2,1.75,1366,1,80.52708638360176
436,2015-09-18,2015-10-23,122000,PARACHUTE,Townhome,ONE STORY,2006,3,2,1426,1,85.55399719495091
437,2015-05-27,2015-07-01,243842,PARACHUTE,Townhome,ONE STORY,2006,3,2,1426,1,170.99719495091165
438,2015-04-29,2015-06-03,147000,PARACHUTE,Townhome,ONE STORY,2006,3,2,1498,1,98.13084112149532
439,2014-09-26,2014-10-31,89900,PARACHUTE,Townhome,TWO STORY,2007,3,2.5,1508,1,59.61538461538461
440,2015-03-06,2015-04-10,93000,PARACHUTE,Townhome,TWO STORY,2007,3,2.5,1508,1,61.6710875331565
441,2015-02-24,2015-03-31,94500,PARACHUTE,Townhome,TWO STORY,2005,3,2.5,1514,1,62.41743725231176
442,2014-06-25,2014-07-30,48000,PARACHUTE,Townhome,TWO STORY,2005,3,2.5,1514,1,31.704095112285337
443,2014-06-26,2014-07-31,120000,PARACHUTE,Townhome,ONE STORY,1998,2,1.75,1593,1,75.32956685499059
444,2015-06-10,2015-07-15,149000,PARACHUTE,Townhome,ONE STORY,1998,2,1.75,1593,1,93.53421217827997
445,2015-05-27,2015-07-01,140000,PARACHUTE,Townhome,ONE STORY,1993,2,1.75,1726,1,81.11239860950174
446,2014-10-28,2014-12-02,164500,PARACHUTE,Townhome,ONE STORY,1998,2,1.75,1731,1,95.0317735413056
447,2016-04-07,2016-05-12,155000,PARACHUTE,Townhome,ONE STORY,1997,2,1.75,1731.5,1,89.51775916835113
448,2015-08-05,2015-09-09,133500,PARACHUTE,Townhome,ONE STORY W/ BSMT,1989,3,2.25,2440,1,54.71311475409836
449,2015-09-04,2015-10-09,164000,PARACHUTE,Townhome,ONE STORY W/ BSMT,1991,3,2.5,2444,1,67.10310965630114
450,2016-05-11,2016-06-15,200000,PARACHUTE,Townhome,ONE STORY W/ BSMT,1994,3,2.5,2920,1,68.4931506849315
451,2015-10-13,2015-11-17,187500,PARACHUTE,Townhome,ONE STORY W/ BSMT,1995,3,2.5,2920,1,64.21232876712328
452,2015-12-25,2016-01-29,195500,PARACHUTE,Townhome,ONE STORY W/ BSMT,1997,3,2.25,2926,1,66.81476418318523
453,2015-06-05,2015-07-10,47500,RIFLE,Condo,CONDO,1981,2,1,713,1,66.61991584852736
454,2014-12-04,2015-01-08,43000,RIFLE,Condo,CONDO,1981,2,1,713,1,60.308555399719495
455,2014-08-06,2014-09-10,52500,RIFLE,Condo,CONDO,1981,2,1,713,1,73.63253856942497
456,2014-07-25,2014-08-29,43000,RIFLE,Condo,CONDO,1981,2,1,713,1,60.308555399719495
